name,email,ssn,phone_number,drugs,marital status
Jonathan Jones,kentortega@hotmail.com,539-85-7009,7566411170,LevothyroxineSodium,Common-Law
Regina Hartman,perezashlee@yahoo.com,348-66-8027,731-983-1227,Lyrica,Common-Law
Christopher Lam,downsmichael@clark-rodriguez.com,898-33-0020,(050)114-4750x036,Zolpidem Tartrate,Married
Rebekah Obrien,kaylahernandez@reed.com,790-35-5157,(852)312-4960x231,Simvastatin,Single
Nicholas Wilson,briancastillo@dorsey-carpenter.com,347-08-3793,001-187-772-2906x27981,Hydrochlorothiazide,Single
Gregg Nelson,anasanders@evans.com,473-16-0643,711.082.8190,Pravastatin Sodium,Single
David Ritter,timothy75@griffin.info,882-41-7121,664-748-4366,Warfarin Sodium,Married
Jeremy Gonzalez,wrobinson@horton-frederick.com,181-52-6123,+1-161-325-9485,Methylprednisolone,Married
Kaitlin Wells,psmith@cruz.com,840-51-8860,905-750-7967x1749,Clonazepam,Common-Law
Brandi Velez,qkelly@yahoo.com,165-85-6357,001-798-178-6656x01393,Potassium Chloride,Divorced
Anthony Moss,charles95@gmail.com,052-05-5815,212-568-3555,Metformin HCl,Divorced
Janet Jones,khurley@sullivan-harrington.net,840-34-4766,001-266-723-1473x033,Atenolol,Single
Heather Mckay,carolynmartin@gmail.com,477-73-5162,(781)834-4002,Celebrex,Common-Law
Michelle Mason,townsendwanda@james-gallegos.com,449-52-0691,+1-208-856-2677x3165,Gabapentin,Divorced
Robin Snyder,andersonsara@yahoo.com,383-64-1052,256.996.4351x9226,Amoxicillin,Divorced
Amanda Lynch,robert31@hotmail.com,338-64-4268,356.672.1524x2319,Diazepam,Married
Adam Watson,youngcourtney@torres-gross.com,556-27-7708,613.493.7904,Allopurinol,Divorced
Michelle Guzman,cjackson@montes.org,724-59-0725,068.435.4060,Lyrica,Divorced
Jared Tran,zacharynovak@hotmail.com,208-04-0085,1067120584,Hydrochlorothiazide,Married
Alexandra Garcia,jscott@yahoo.com,698-90-6455,2184678008,Alprazolam,Divorced
Dr. Jesse Vaughn,dwilson@hansen.net,125-85-3394,4180381405,Omeprazole (Rx),Single
Donna Turner,tylergriffin@hotmail.com,345-77-7721,+1-634-022-5626x16783,Lisinopril/Hydrochlorothiazide,Single
John Young,drewkrause@rocha-wright.com,357-78-7543,901-756-7231x217,Cialis,Common-Law
Sherry Alvarado,bryan86@jennings.org,411-30-0096,+1-850-848-8893x879,Doxycycline Hyclate,Single
Cory Moore,pgomez@blake.com,453-38-4261,931-958-6300,Oxycontin,Married
Javier Wood,jay27@hamilton.com,116-47-9124,447.591.6692x954,Spiriva Handihaler,Common-Law
Robert Brown,nwhite@yahoo.com,634-82-8598,001-682-785-5154,Methylprednisolone,Single
Paul Kramer,garneredwin@christian.org,495-27-5256,+1-655-001-2869x5391,Penicillin VK,Common-Law
Patrick Moran,michelle13@yahoo.com,226-33-6369,001-371-846-1664x699,Oxycodone HCl,Single
Sarah Washington,yoderpedro@yahoo.com,513-93-1106,6356710987,Sertraline HCl,Common-Law
Stephen Mcguire,jamesgarcia@davis.net,240-92-2951,001-617-822-4368x851,Synthroid,Married
Hannah Anderson,zimmermanjames@yahoo.com,325-45-0901,+1-372-067-5784x2422,Lisinopril,Divorced
Diane Copeland,leachcheryl@yahoo.com,167-02-0160,001-383-198-8196x3907,Glyburide,Single
David Wilson,tyrone22@yahoo.com,208-97-5703,893-536-7981x48029,Simvastatin,Common-Law
Leslie Jensen,anthony11@davis-james.com,773-65-1971,(565)691-2803x683,Diovan HCT,Single
James Mathews,kellywells@mcdonald.info,892-98-1657,(832)189-7974x8639,Citalopram HBr,Divorced
Stephanie Nelson,bradymelissa@watson-howell.com,896-41-9567,672-345-7711x888,Metoprolol Succinate,Married
Amy Vega,mark03@jackson.com,685-94-7470,001-898-445-4468x7237,Alprazolam,Married
Alexis Vance,travistucker@stewart.net,398-21-3539,3123604192,Triamterene/Hydrochlorothiazide,Divorced
Travis Robinson,gmorgan@hotmail.com,827-09-1268,001-479-081-6619x9877,Lyrica,Single
Linda Miller,harpershane@yahoo.com,571-45-2634,+1-410-447-1749x6609,Fluticasone Propionate,Divorced
Angela Potter,thompsonmercedes@jones.com,456-46-7914,5290481781,Lorazepam,Married
Holly Hebert,farmerlouis@baker.com,244-28-8583,501.510.7079x651,Spiriva Handihaler,Divorced
James Myers,omoreno@yahoo.com,570-08-8943,349.920.7327x046,Nexium,Single
Joel Moore,goodanthony@jones.com,085-39-3942,+1-053-123-4662x1216,Gabapentin,Common-Law
Kathryn Barron,fisherjanet@scott.com,083-18-8746,598-109-9686x680,Clonazepam,Married
Daniel Castro,wday@marks.net,511-74-4328,883.056.9742x704,Hydrocodone/APAP,Common-Law
Abigail Adams,mwallace@yahoo.com,063-76-2419,441-094-3180x621,Atenolol,Divorced
John Colon,kirsten35@joseph-allen.com,180-52-6567,(999)666-4048x34393,Simvastatin,Common-Law
Gail Bradley,bennetttonya@gmail.com,018-83-0763,+1-117-835-9926x371,Amoxicillin Trihydrate/Potassium Clavulanate,Common-Law
Regina Farrell,lisaford@hotmail.com,322-28-3405,915-230-2566x912,Lisinopril,Common-Law
Miguel Beck,coltonramirez@hotmail.com,864-43-0312,+1-787-872-6431x0029,Furosemide,Divorced
Phyllis Scott MD,tracy84@gmail.com,886-49-7056,647-006-4486,Lantus,Common-Law
Sara Pollard,williamsondavid@vazquez-roach.com,839-61-1731,634-443-5134,Singulair,Divorced
Cynthia Atkins,usimon@lee.com,182-01-1267,+1-724-946-0568,Amlodipine Besylate,Single
Jennifer Robles,rogersdawn@hotmail.com,569-32-4096,+1-314-464-1717,Doxycycline Hyclate,Single
Kevin Gonzalez,hilledward@allen.com,308-01-5396,553-645-0736x57756,Penicillin VK,Single
Steven Cook,garciajames@shaw.com,602-23-5285,001-154-623-2600x11283,Paroxetine HCl,Common-Law
Angel Daniels,sweaver@hotmail.com,805-93-0825,+1-139-761-3986,Warfarin Sodium,Divorced
Jennifer Cannon,oacosta@hotmail.com,171-36-2255,424.433.3582,Pantoprazole Sodium,Single
Dana Branch,iburton@black-mcgee.net,319-77-3302,(483)463-8810x682,Lisinopril,Common-Law
David Ferguson,ashleywhitaker@tucker.com,014-75-2857,001-979-280-4969x357,Metoprolol Tartrate ,Common-Law
Philip Meza,danielvalenzuela@gmail.com,598-71-1196,001-896-880-3569x0177,Atenolol,Single
Savannah Holt,lopezkatherine@hotmail.com,182-38-9516,779-590-1287x5839,Symbicort,Married
Stephanie Allen,benjamin63@hotmail.com,122-77-7176,+1-293-423-3927x8015,Simvastatin,Married
Robin Lopez,rwilliams@taylor.com,712-47-0809,+1-669-817-8456,Clonazepam,Single
Christopher Nelson,robertwells@hotmail.com,852-43-2105,+1-899-724-6753x1888,LevothyroxineSodium,Single
Cameron Walker,denise14@hotmail.com,329-40-2563,(559)415-7214x002,Furosemide,Common-Law
