name,email,ssn,phone_number,drugs,marital status
Igor Cash,elementum.lorem.ut@dolor.co.uk,131-43-9153,1-616-355-4233,Hydrochlorothiazide,Single
Solomon Banks,erat.neque@ipsum.net,649-46-0756,1-140-591-1045,Pravastatin Sodium,Single
Griffith Waters,mauris@Duis.com,031-19-7711,1-453-606-1026,Warfarin Sodium,Married
Jerry Hebert,posuere.at.velit@sedleo.org,062-06-4853,1-677-985-6979,Methylprednisolone,Married
Ian Frank,Aliquam@famesac.ca,140-62-6727,1-908-434-7243,Clonazepam,Common-Law
Hamilton Arnold,luctus@eros.com,340-34-5649,1-673-992-9908,Potassium Chloride,Divorced
Macon Solis,a.auctor@metusInlorem.ca,625-34-6026,1-707-768-7051,Metformin HCl,Divorced
Hakeem Flynn,nonummy.ipsum@sociisnatoque.ca,423-31-3025,1-310-761-7161,Atenolol,Single
Jared Cleveland,primis.in.faucibus@pedeCras.co.uk,186-41-1845,1-745-309-5680,Celebrex,Common-Law
Arden Rowe,ipsum@dictumplacerataugue.co.uk,606-19-9401,1-363-506-7798,Gabapentin,Divorced
Julian Mullins,elit@Vivamus.co.uk,292-60-3450,1-899-104-3473,Amoxicillin,Divorced
Hayden Brewer,rhoncus@lacusAliquamrutrum.edu,005-43-4412,1-660-298-3616,Diazepam,Married
Andrew Duncan,id.libero@ultriciesornareelit.org,433-84-7609,1-628-254-9627,Allopurinol,Divorced
Lev Noble,Duis.risus.odio@non.ca,192-82-0001,1-615-656-0132,Lyrica,Divorced
Brock Roy,Sed.malesuada.augue@sagittissemperNam.edu,288-07-9465,1-836-738-3133,Hydrochlorothiazide,Married
Lee Adams,dictum@Morbinon.com,712-30-0072,1-155-114-3672,Alprazolam,Divorced
Hamish Walsh,ullamcorper.Duis.at@necmollis.edu,001-22-1418,1-136-465-0560,Omeprazole (Rx),Single
Ryder Riggs,cursus@id.ca,426-56-0289,1-440-151-6419,Lisinopril/Hydrochlorothiazide,Single
Elvis Carver,ligula.Aenean.euismod@orciDonec.co.uk,576-01-1003,1-478-877-3762,Cialis,Common-Law
Lewis Church,urna@nibhdolornonummy.co.uk,760-81-8906,1-121-856-6831,Doxycycline Hyclate,Single
Rahim Welch,elit.dictum.eu@idenimCurabitur.co.uk,640-40-0818,1-999-511-1551,Oxycontin,Married
Emerson Larson,Aenean.eget.metus@enimdiamvel.net,754-69-0451,1-306-923-1341,Spiriva Handihaler,Common-Law
Amir Reid,non.justo@magnisdisparturient.org,313-86-1810,1-419-906-0698,Methylprednisolone,Single
Silas Gay,semper.pretium.neque@tincidunt.ca,261-10-2641,1-298-889-9426,Penicillin VK,Common-Law
Clayton Santiago,nisi.nibh.lacinia@Nulla.edu,716-09-1946,1-131-631-1453,Oxycodone HCl,Single
Leroy Carroll,vitae.diam.Proin@elitpharetra.co.uk,074-19-7548,1-311-818-2898,Sertraline HCl,Common-Law
Cole Booker,a@at.com,889-59-0443,1-188-863-1316,Synthroid,Married
Kenneth Horn,nec.urna@purusinmolestie.org,174-92-4984,1-462-535-6025,Lisinopril,Divorced
Hector Skinner,lobortis@pellentesque.org,458-64-6884,1-176-466-8344,Glyburide,Single
Kieran Lewis,nunc@acturpisegestas.com,053-14-6062,1-328-550-7686,Simvastatin,Common-Law
Eagan Nunez,Donec@pede.co.uk,367-15-4383,1-682-874-9914,Diovan HCT,Single
Micah Harrell,molestie.tortor.nibh@nuncac.com,471-54-1402,1-708-346-5057,Citalopram HBr,Divorced
Isaac Sexton,tortor.nibh.sit@dolor.org,350-52-7640,1-778-767-0232,Metoprolol Succinate,Married
Avram Stein,luctus.et@Namnullamagna.ca,343-08-8534,1-981-388-3837,Alprazolam,Married
Aristotle Cameron,ligula@fermentum.com,665-70-9824,1-330-989-7697,Triamterene/Hydrochlorothiazide,Divorced
Harrison Blackburn,Aliquam.fringilla.cursus@commodo.co.uk,532-29-8291,1-610-991-8205,Lyrica,Single
Phelan Kramer,Suspendisse.eleifend.Cras@tinciduntpede.net,411-17-5237,1-713-621-6828,Fluticasone Propionate,Divorced
Walker Donaldson,tincidunt.dui@tinciduntdui.ca,814-62-9643,1-409-521-5609,Lorazepam,Married
Lamar Wood,orci.Ut.sagittis@odioEtiamligula.co.uk,024-77-3522,1-971-726-9292,Spiriva Handihaler,Divorced
Walter Page,vitae.risus@Donec.com,529-02-3344,1-110-874-4411,Nexium,Single
Herman Valdez,arcu.Curabitur@adipiscing.ca,185-82-6614,1-516-747-8715,Gabapentin,Common-Law
Addison Meyers,cursus.luctus@molestietellus.ca,297-32-9454,1-759-241-4641,Clonazepam,Married
Gage Mayo,placerat@nuncullamcorper.net,683-26-3368,1-670-380-1505,Hydrocodone/APAP,Common-Law
Bert Gates,accumsan.interdum.libero@mollisneccursus.co.uk,714-24-2444,1-611-743-7379,Atenolol,Divorced
Raphael Hewitt,interdum@Integertincidunt.com,582-04-3363,1-133-660-3605,Simvastatin,Common-Law
Edan Jensen,nibh@scelerisquemollisPhasellus.co.uk,528-32-2652,1-129-528-3642,Amoxicillin Trihydrate/Potassium Clavulanate,Common-Law
Lucius David,mauris@Aliquameratvolutpat.ca,116-87-7177,1-913-333-0472,Lisinopril,Common-Law
Gareth Grimes,iaculis.odio@porttitorvulputate.com,758-68-6937,1-784-763-7897,Furosemide,Divorced
Michael Combs,mauris.a.nunc@Etiamvestibulummassa.ca,607-07-9127,1-902-320-6535,Lantus,Common-Law
Joel Mullen,semper.pretium@convallisincursus.com,287-96-9908,1-857-885-8985,Singulair,Divorced
Robert Fowler,magnis.dis@estmollis.net,350-78-4764,1-177-992-5056,Amlodipine Besylate,Single
Lucius Delacruz,elit.pretium.et@faucibusleoin.co.uk,018-13-1025,1-160-766-7464,Doxycycline Hyclate,Single
Nigel Pacheco,amet@nibhenimgravida.org,034-04-7305,1-669-285-0866,Penicillin VK,Single
Benjamin Carpenter,at.velit.Cras@justonec.co.uk,544-18-0326,1-430-610-2514,Paroxetine HCl,Common-Law
Jeremy Tucker,erat.nonummy.ultricies@arcuacorci.ca,386-44-7929,1-230-414-2883,Warfarin Sodium,Divorced
Lee Mccarthy,eget.magna.Suspendisse@magnaetipsum.com,125-97-5307,1-824-351-5417,Pantoprazole Sodium,Single
Josiah Melendez,luctus@erosturpis.com,785-11-3562,1-618-830-3981,Lisinopril,Common-Law
Prescott Mckee,ultricies@urnaconvallis.co.uk,341-57-4608,1-762-225-6737,Metoprolol Tartrate ,Common-Law
Marvin Simpson,blandit.at@Loremipsumdolor.net,389-07-3436,1-125-177-0461,Atenolol,Single
Marsden Alvarado,Vivamus.rhoncus.Donec@nonluctussit.org,825-65-0669,1-691-317-5993,Symbicort,Married
Moses Bass,luctus.lobortis.Class@Nulla.ca,467-29-4823,1-799-990-8488,Simvastatin,Married
George Garcia,nibh.dolor.nonummy@antebibendumullamcorper.com,854-47-9155,1-423-462-7056,Clonazepam,Single
Denton Bennett,ante.ipsum@ipsum.net,624-76-2225,1-384-661-9885,LevothyroxineSodium,Single
Anthony Nolan,vestibulum@feugiat.ca,808-02-0494,1-166-768-5070,Furosemide,Common-Law
